1,3,0,6,72,50,8.6936e+09
1,3,1,5,26,14,8.6936e+09
1,3,2,6,80,50,8.6936e+09
1,3,3,10,70,32,8.6936e+09
1,3,4,5,17,14,8.6936e+09
1,3,5,7,26,32,8.6936e+09
1,3,6,11,85,14,8.6936e+09
1,3,7,1,8,50,8.6936e+09
1,3,8,2,2,14,8.6936e+09
1,3,9,7,16,32,8.6936e+09
1,3,10,1,18,50,8.6936e+09
1,3,11,9,97,50,8.6936e+09
1,3,12,3,87,86,8.6936e+09
1,3,13,10,82,32,8.6936e+09
1,3,14,3,88,86,8.6936e+09
1,3,15,0,85,86,8.6936e+09
1,3,16,4,74,50,8.6936e+09
1,3,17,8,31,14,8.6936e+09
1,3,18,0,68,86,8.6936e+09
1,3,19,11,81,14,8.6936e+09
1,3,20,8,18,14,8.6936e+09
1,3,21,2,5,14,8.6936e+09
1,3,22,4,66,50,8.6936e+09
1,3,23,9,95,50,8.6936e+09
2,3,0,3,39,86,9.5964e+09
2,3,1,2,85,14,9.5964e+09
2,3,2,6,74,50,9.5964e+09
2,3,3,7,19,32,9.5964e+09
2,3,4,3,18,86,9.5964e+09
2,3,5,9,67,50,9.5964e+09
2,3,6,8,60,14,9.5964e+09
2,3,7,4,41,50,9.5964e+09
2,3,8,10,34,32,9.5964e+09
2,3,9,8,68,14,9.5964e+09
2,3,10,5,8,14,9.5964e+09
2,3,11,9,56,50,9.5964e+09
2,3,12,0,89,86,9.5964e+09
2,3,13,2,81,14,9.5964e+09
2,3,14,0,92,86,9.5964e+09
2,3,15,1,24,50,9.5964e+09
2,3,16,7,15,32,9.5964e+09
2,3,17,5,11,14,9.5964e+09
2,3,18,11,9,14,9.5964e+09
2,3,19,4,56,50,9.5964e+09
2,3,20,11,13,14,9.5964e+09
2,3,21,10,33,32,9.5964e+09
2,3,22,6,73,50,9.5964e+09
2,3,23,1,15,50,9.5964e+09
3,3,0,2,14,14,5.7641e+08
3,3,1,8,33,14,5.7641e+08
3,3,2,6,58,50,5.7641e+08
3,3,3,4,73,50,5.7641e+08
3,3,4,5,10,14,5.7641e+08
3,3,5,7,11,32,5.7641e+08
3,3,6,10,42,32,5.7641e+08
3,3,7,0,55,86,5.7641e+08
3,3,8,5,20,14,5.7641e+08
3,3,9,11,5,14,5.7641e+08
3,3,10,9,95,50,5.7641e+08
3,3,11,1,38,50,5.7641e+08
