1,0,0,1,1,3,2,1,0,52,85,10,2621,8.6936e+09
1,0,1,1,1,2,3,-1,1,86,50,10,5133,8.6936e+09
1,0,2,1,2,3,1,1,1,81,49,11,1291,8.6936e+09
1,0,3,1,1,2,3,-1,1,90,53,15,827,8.6936e+09
1,0,4,1,1,2,3,-1,1,76,50,13,1156,8.6936e+09
1,0,5,1,1,3,2,-1,1,90,51,21,589,8.6936e+09
1,1,0,4,10,11,12,1,0,15,53,32,4631,8.6936e+09
1,1,1,1,3,2,1,-1,0,12,85,47,5667,8.6936e+09
1,1,2,4,12,11,10,0,0,27,44,16,2668,8.6936e+09
1,1,3,3,7,9,8,0,0,13,59,32,2806,8.6936e+09
1,1,4,4,12,11,10,1,1,47,34,13,3503,8.6936e+09
1,1,5,-2,5,6,4,-1,0,44,82,9,6032,8.6936e+09
1,1,6,-2,6,5,4,0,0,48,82,12,2487,8.6936e+09
1,1,7,1,3,1,2,-1,0,10,86,50,3928,8.6936e+09
1,1,8,3,9,7,8,0,1,50,34,23,5422,8.6936e+09
1,1,9,2,4,5,6,-1,1,79,48,21,2765,8.6936e+09
1,1,10,3,7,8,9,-1,1,53,33,13,5021,8.6936e+09
1,1,11,3,7,8,9,-1,1,49,31,8,4587,8.6936e+09
1,1,12,3,8,9,7,1,1,59,28,18,4109,8.6936e+09
1,1,13,-4,12,11,10,0,0,33,50,17,2734,8.6936e+09
1,1,14,-2,4,5,6,0,0,49,85,9,3748,8.6936e+09
1,1,15,-4,11,12,10,-1,0,35,50,16,4127,8.6936e+09
1,1,16,3,9,7,8,0,1,53,29,13,4230,8.6936e+09
1,1,17,2,6,5,4,1,1,83,50,10,2034,8.6936e+09
1,1,18,-2,4,5,6,0,0,61,90,19,3104,8.6936e+09
1,1,19,1,1,3,2,0,0,12,86,51,6253,8.6936e+09
1,1,20,-2,4,6,5,1,0,46,92,12,3259,8.6936e+09
1,1,21,-2,6,4,5,1,0,53,89,18,4068,8.6936e+09
1,1,22,-4,11,12,10,0,0,3,50,25,6164,8.6936e+09
1,1,23,1,3,1,2,-1,0,13,90,51,7866,8.6936e+09
1,1,24,1,3,1,2,-1,0,12,93,49,5620,8.6936e+09
1,1,25,2,5,4,6,0,1,79,48,18,1637,8.6936e+09
1,1,26,-4,11,12,10,0,0,9,51,29,2565,8.6936e+09
1,1,27,1,2,3,1,0,0,15,82,50,4239,8.6936e+09
1,1,28,3,7,8,9,-1,1,48,27,23,4770,8.6936e+09
1,1,29,3,8,7,9,0,1,45,32,18,1985,8.6936e+09
1,1,30,2,4,6,5,-1,1,82,47,15,1642,8.6936e+09
1,1,31,1,3,2,1,-1,0,13,86,52,1010,8.6936e+09
1,1,32,2,4,5,6,-1,1,84,53,10,1096,8.6936e+09
1,1,33,2,6,5,4,1,1,76,49,9,2749,8.6936e+09
1,1,34,1,1,3,2,-1,1,88,53,12,4932,8.6936e+09
1,1,35,3,8,7,9,0,1,52,28,13,2956,8.6936e+09
1,1,36,4,10,12,11,-1,1,49,28,11,8657,8.6936e+09
1,1,37,-4,12,10,11,-1,0,12,52,32,4005,8.6936e+09
1,1,38,3,8,9,7,1,1,50,28,20,4120,8.6936e+09
1,1,39,4,12,11,10,-1,0,10,56,27,6356,8.6936e+09
1,1,40,3,8,9,7,1,1,50,26,21,3141,8.6936e+09
1,1,41,3,8,9,7,1,1,54,32,10,3401,8.6936e+09
1,1,42,3,7,9,8,-1,1,54,30,18,2817,8.6936e+09
1,1,43,2,6,5,4,1,1,81,51,10,1708,8.6936e+09
1,1,44,1,3,2,1,-1,0,13,81,49,2548,8.6936e+09
1,1,45,4,12,10,11,1,0,39,45,15,5587,8.6936e+09
1,1,46,4,12,10,11,0,1,55,35,18,4158,8.6936e+09
1,1,47,1,1,2,3,1,0,18,78,53,1820,8.6936e+09
1,1,48,2,5,6,4,1,1,87,54,15,1598,8.6936e+09
1,1,49,2,6,4,5,0,1,83,57,11,1405,8.6936e+09
1,1,50,1,1,3,2,0,0,14,89,53,5331,8.6936e+09
1,1,51,1,1,2,3,1,0,20,82,46,980,8.6936e+09
1,1,52,3,8,7,9,0,1,51,29,14,1296,8.6936e+09
1,1,53,2,5,6,4,1,1,88,58,18,1237,8.6936e+09
1,1,54,1,2,3,1,1,1,92,49,16,3812,8.6936e+09
1,1,55,1,3,1,2,0,1,87,42,11,2203,8.6936e+09
1,1,56,-4,10,11,12,1,0,9,55,31,1496,8.6936e+09
1,1,57,-2,6,4,5,1,0,55,87,16,3085,8.6936e+09
1,1,58,-2,4,5,6,0,0,45,91,18,2141,8.6936e+09
1,1,59,-4,11,10,12,-1,0,31,53,14,882,8.6936e+09
1,1,60,1,3,2,1,1,1,87,52,11,2553,8.6936e+09
1,1,61,1,3,1,2,0,1,87,51,17,1908,8.6936e+09
